Symbol,dividendRate,beta,52WeekChange,shortName,longName,forwardEps,bookValue,priceToBook,shortRatio
LEG,1.6,1.504136,,"Leggett & Platt, Incorporated","Leggett & Platt, Incorporated",2.98,10.481,5.1626754,6.25
LEN,1,1.516822,,Lennar Corporation,Lennar Corporation,11.3,60.298,1.5687087,3.22
LH,,1.047435,,Laboratory Corporation of Ameri,Laboratory Corporation of America Holdings,16.01,102.469,2.6252818,2.83
LHX,4.08,0.746466,,"L3Harris Technologies, Inc.","L3Harris Technologies, Inc.",13.22,103.411,2.0891392,2.03
LIN,4.24,0.806949,,Linde plc,Linde plc,10.33,90.421,3.3019986,1.95
LKQ,,1.664092,,LKQ Corporation,LKQ Corporation,3.36,19.323,2.6134658,3.02
LLY,3.4,0.261996,,Eli Lilly and Company,Eli Lilly and Company,8.66,7.589,26.338121,1.72
LMT,10.4,0.984555,,Lockheed Martin Corporation,Lockheed Martin Corporation,27.9,22.705,17.054394,2.35
LNC,1.68,2.264754,,Lincoln National Corporation,Lincoln National Corporation,10.79,118.021,0.5816761,3.44
LNT,1.61,0.335355,,Alliant Energy Corporation,Alliant Energy Corporation,2.74,22.764,2.5527148,2.47
LOW,2.4,1.357418,,"Lowe's Companies, Inc.","Lowe's Companies, Inc.",11.14,1.966,97.89929,1.84
LRCX,5.2,1.30888,,Lam Research Corporation,Lam Research Corporation,32.42,37.667,16.303394,1.26
LUMN,1,1.119691,,"Lumen Technologies, Inc.","Lumen Technologies, Inc.",,,,7.2
LUV,,1.264202,,Southwest Airlines Company,Southwest Airlines Co.,3.1,15.378,3.90753,2.38
LVS,,1.49476,,Las Vegas Sands Corp.,Las Vegas Sands Corp.,2.43,3.499,16.496141,3.03
LW,0.94,0.778158,,"Lamb Weston Holdings, Inc.","Lamb Weston Holdings, Inc.",3.09,3.088,25.984455,2.37
LYB,4.2,1.572531,,LyondellBasell Industries NV,LyondellBasell Industries N.V.,12.34,26.323,4.1978498,1.48
LYV,,1.429123,,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",0.44,-2.18,,6.49
MA,1.76,1.180364,,Mastercard Incorporated,Mastercard Incorporated,10.44,6.378,57.635624,1.5
MAA,4.1,0.635962,,Mid-America Apartment Communiti,"Mid-America Apartment Communities, Inc.",2.54,50.736,3.0954351,2.29
MAR,,1.918918,,Marriott International,"Marriott International, Inc.",4.61,1.326,104.83408,2.9
MAS,0.94,1.348041,,Masco Corporation,Masco Corporation,3.96,-0.067,,3.7
MCD,5.16,0.618863,,McDonald's Corporation,McDonald's Corporation,9.57,-10.498,,2.18
MCHP,1.56,1.721456,,Microchip Technology Incorporat,Microchip Technology Incorporated,7.5,19.673,7.615005,3.95
MCK,1.68,0.904578,,McKesson Corporation,McKesson Corporation,18.85,-2.997,,3
MCO,2.48,1.161059,,Moody's Corporation,Moody's Corporation,12.05,10.844,30.328293,2.19
MDLZ,1.26,0.662989,,"Mondelez International, Inc.","Mondelez International, Inc.",3.12,19.275,3.2871597,1.48
MDT,2.32,0.771097,,Medtronic plc.,Medtronic plc,5.72,37.669,3.3791714,2.32
MET,1.92,1.341974,,"MetLife, Inc.","MetLife, Inc.",7,83.5,0.77497005,3.67
MGM,0.01,2.472697,,MGM Resorts International,MGM Resorts International,0.17,12.822,3.096241,1.99
